@relation 'Waveform ARFF file header-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1'

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute class {0,1,2}

@data
0.85,-0.66,-0.6,-0.08,0.56,-1.09,-0.91,0.39,2.86,-0.53,3.29,5.5,3.42,4.38,5.02,5.64,3.08,3.32,2.86,1.35,-0.66,2
0.28,0.6,-0.21,-0.85,-0.7,0.7,-0.42,-1.63,1.05,2,1.98,3.41,4.97,3.13,5.51,5.86,2.23,2.04,0.85,0.36,0.1,2
-1.15,0.8,-2.65,0.83,0.45,-0.49,0.49,1.26,2.09,1.61,5.38,1.88,4.04,5.87,4.56,1.8,2.41,1.44,3.01,0.48,1.02,2
1.85,0.3,0.2,-0.22,0.48,0.37,-0.38,-0.24,1.06,1.79,5.33,3.9,4.56,5.84,3.6,2.78,5.55,1.19,2.03,-1.18,-0.43,2
0.61,-0.51,-0.84,-0.53,0.94,-0.12,0.08,2.13,1.54,2.03,3.02,4.15,3.97,2.95,5.42,3.29,3.9,0.81,0.58,0.23,-0.07,2
1.9,0.32,0.02,-0.44,-0.43,1.14,4.05,3.83,4.29,5.7,5.88,5.23,4.83,2.68,3.06,1.22,1.26,1.81,1.73,-0.88,-0.26,2
1.55,0.77,1.21,0.78,0.18,2.07,0.63,-0.22,3.32,1.72,2.97,3.56,4.56,4.51,5.12,4.76,3.52,1.85,0.56,1.02,-0.42,2
0.71,1.1,0.73,-0.96,1.55,0.18,0.78,2.09,1.89,2.78,3.26,4.85,3.13,3.14,2.32,4.52,1.4,1.91,1.64,1.24,-1.07,2
0,1.71,1.14,0.98,-0.46,-0.66,-0.15,-0.46,2.39,0.78,4.77,4.25,4.19,5.88,4.71,2.41,2.46,2.18,0.89,0.07,0.11,2
-0.51,0.24,-0.12,1.31,-0.47,1.74,1.06,1.35,4.56,4.19,6.15,4.84,3.86,4.2,1.6,0.81,2.48,0.67,-0.76,0.15,0.2,2
0.67,-0.27,0.88,1.34,0.57,1.04,1.55,0.91,-0.78,1.53,1.66,2.39,4.01,4.87,4.29,1.98,2.1,2.35,1.28,1.65,0.7,2
-1.01,1.57,3.81,-1.49,-0.82,2.12,-0.53,1.18,-0.32,0.59,2.75,3.26,2.41,2.58,7.25,4.64,2.25,1.4,1.55,0.48,-0.12,2
0.27,-0.57,-0.4,-1.04,0.06,3.32,3.01,3.53,3.1,4.66,3.71,4.26,4.37,3.24,1.82,2.92,1.01,1.38,-0.86,-0.34,0.94,2
-0.4,-0.65,0.79,-0.06,1.5,0.22,0.19,2.54,1.46,3.62,1.95,4.09,3.93,3.5,4.45,2.21,1.24,1.59,1.84,0.53,-0.79,2
-0.95,0.5,-1.87,0.94,-0.78,0.99,-0.49,-0.8,1.34,2.13,0.69,2.82,3.04,4.24,5.44,4.27,3.84,2.08,2.26,1.06,0.29,2
-1.05,-0.15,0.35,1.89,1.09,1.28,1.46,3.3,3.43,3.22,6.48,5.22,3.64,4.4,2.8,3.5,-0.02,0.97,0.39,-0.15,-0.74,2
-0.93,-0.03,-0.33,-1.4,-0.67,-0.32,0.6,2.48,-0.09,3.2,4.82,4.68,3.56,4.35,3.52,3.18,1.54,1.57,0.96,0.48,0.68,2
-0.95,1.27,-1.27,0.06,-0.28,-0.03,-0.52,1.45,-1.4,0.29,4.64,3.28,4.29,4.66,3.82,4.77,3.42,2.1,2.3,2.26,0.54,2
-0.61,-0.84,0.43,0.15,0.06,1.92,1.22,1,0.25,2.23,2.14,3.52,5.59,6.92,6,4.75,4.18,1.81,1.18,1.6,-0.68,2
0.94,-0.87,-1.01,-1.88,-1,-0.12,1.34,4.44,2.54,4.85,5.26,4.23,2.74,3.28,0.64,2.04,0.37,1.58,0.05,-0.16,-0.5,2
-0.4,-0.67,0.02,0.31,-0.16,0.61,0.49,2.9,2.94,2.25,6.2,5.52,5.23,4.2,2.92,0.88,-0.35,0.85,0.78,-1.03,1.66,2
-0.12,1.87,-1.44,-1.75,-0.66,0.43,1.57,1.06,2.82,1.98,4.71,3.41,4.41,4.69,4.83,2.38,1.27,1.16,1.82,0.71,-0.45,2
0.49,-0.72,0.73,-1.08,0.6,0.23,0.24,0.78,2.3,3.48,5.17,3.4,3.04,3.85,4.89,4.73,2.83,1.89,0.42,2.43,-1.61,2
0.39,0.31,-0.2,-0.1,-0.73,1.14,3.72,3.36,2.42,4.11,6.49,5.77,2.73,2.65,3.7,-0.64,0.62,2.04,0.84,0.83,-0.37,2
0.49,0.74,0.01,-0.98,0.52,0.28,2.52,1.91,3.01,3.14,4.55,5.45,3.1,3.01,4.07,3.36,2.01,1.9,0.8,0.58,-1.01,2
-1.37,-0.61,-1.19,0.57,0.48,-0.59,1.64,1.19,1.5,1.46,3.95,4.5,2.94,3.99,5.97,4.44,2.51,2.71,1.2,1.46,0.65,2
-0.09,0.16,1.3,0.8,-0.31,1.66,3.3,2.02,3.6,5.6,4.64,4.78,5.7,3.14,3.99,1.32,0.74,0.04,1.95,1.16,-0.48,2
-0.04,0.37,1.18,0.86,-1.07,0.78,3.1,3.09,3.8,4.79,6.81,4.68,4.69,1.88,2.66,0.13,-0.43,-0.6,0.39,1.97,-0.4,2
0.4,-1.45,-1.78,0.34,-0.99,-0.71,-0.44,1.13,3.16,5.46,7.31,3.86,3.6,4.11,4.08,2.26,1.68,0.41,1.55,-0.85,-0.83,2
-0.18,1.35,0.08,-0.43,-0.25,-1.68,0.78,0.01,0.56,2.53,1.95,2.97,6.17,4.22,6.42,5.14,4.55,1.9,3.07,1.25,0.86,2
0.68,-1.7,2.19,0.57,0.3,0.66,-1.07,1.74,0.16,0.99,2.74,4.98,2.54,2.47,3.67,3.99,4.67,1.71,3.03,0.67,0.02,2
1.58,1.84,-0.43,-0.37,0.15,2.55,0.44,2.37,0.41,0.96,4.63,3.53,4.19,5.69,4.85,5.42,4.1,1.84,1.03,2.32,0.06,2
-1.46,-1.6,-0.65,1.52,-0.87,1.98,1.08,0.99,5.32,4.55,5.11,4.73,4.67,4.9,3.1,2.5,1,0.45,0.75,-0.5,-0.87,2
2.26,-1.63,-0.18,0.48,-0.13,0.86,1.38,2.42,4.05,4.46,4.99,3.68,4.04,1.77,3.86,1.71,2.14,0.25,2.94,0.33,-0.65,2
0.29,1.47,0.42,0.61,-0.32,1.7,1.74,2.05,3.72,4.67,5.1,5.36,4.46,4.23,1.34,0.81,0.45,0.45,0.67,0.34,-1.92,2
-0.74,1.93,-0.26,0.03,0.05,-0.12,1.43,-1.04,-0.69,2.51,1.71,2.16,2.99,3.39,6.72,5.91,4.32,3.84,2.63,-0.24,0.94,2
2.29,-1.55,-0.67,0.17,-1.56,2.07,0.12,-0.69,2.91,2.18,3.33,3.69,3.87,4.17,5.02,2.7,0.29,1.88,1.43,1.34,-0.1,2
1.39,-0.2,0.01,0.11,-0.98,0.71,1.33,2.04,3.17,2.48,4.18,4.58,5.1,3.94,4.43,3.42,4.41,1.44,0.99,0.2,-1.03,2
-1.03,-0.41,-0.67,1.55,0.56,1.72,0.87,3.64,1.45,5.08,5.08,4.57,2.7,2.71,2.61,3.01,0.14,1.23,-1.26,-0.32,0.17,2
0.05,-0.45,-0.42,-1.28,0.01,1.45,0.76,0.54,2.43,1.09,3.05,4.82,3.3,6.28,3.85,3.45,4.08,2.09,0.59,1.01,0.67,2
-2.33,-0.26,-0.42,-0.02,0.16,-0.24,0.4,1.9,-0.38,3.66,3.14,1.8,3.07,5.2,4.55,3.3,3.15,2.97,2.01,1.05,0.28,2
0.06,1.53,-0.5,2.11,-1.11,1.06,0.98,1.59,2.02,4.95,4.44,2.88,5.51,4.93,4.13,0.89,1.14,1.62,0.07,1.1,-0.25,2
-1.59,-0.02,-1.22,0.2,-0.68,0.96,1.65,1.76,1.19,1.1,3,4.36,2.39,3.23,4.87,2.72,3.57,2.13,2.69,1.43,-0.35,2
-1.26,-1.2,-2.01,0.09,-0.72,-0.53,0.69,-0.21,1.23,3.38,3.69,2.61,3.71,2.48,3.02,3.05,1.81,2.08,2.23,1.32,-0.5,2
-0.22,-1.94,-0.09,1.48,-0.02,0.24,2.02,2.46,2.84,3.26,4.38,5.72,4.83,3.27,1.7,2.32,0.81,-0.24,1.72,3.04,-0.91,2
0.25,-1.44,1.76,1.43,-2.09,-0.62,2.2,1.52,1.55,2.84,3.07,2.45,1.39,3.27,2.63,4.7,2.01,1.2,1.35,0.14,-0.58,2
-1.17,-0.78,-0.19,-1.91,0.53,-0.78,1.71,2.31,0.72,0.37,3.61,4.1,3.19,5.76,6.46,2.99,3.3,3.18,0.85,0.03,-0.61,2
1.36,-0.24,1.79,1.22,1,2.21,0.03,2.23,3.21,4.42,4.82,4.41,3.74,3.24,1.36,2.98,-0.25,1.76,0.99,-0.67,-0.71,2
0.29,0.27,-0.16,-0.46,-1.24,1.4,1.26,0.87,-1.75,0.49,3.42,3.85,2.38,4.6,7.39,5.07,5.13,3.26,1.14,1.02,-2.08,2
-0.36,0.91,0.96,1.17,-0.89,2.48,1.83,2.34,4.83,5.14,5.67,6.43,4.86,2.74,2.62,-0.08,1.34,-0.2,-0.22,2.05,-0.03,2
0.39,0.68,-0.05,-0.41,-0.04,0.66,3.03,3.32,3.63,4.37,6.66,5.35,2.21,3.76,1.05,1.41,-0.52,-0.09,0.13,-0.24,0.06,2
-1.26,0.2,-1.18,-0.56,-0.1,0.61,0.67,1.89,0.67,3.56,3.55,4.55,4.54,2.98,3.46,2.51,1.62,0.5,1.05,0.66,1.29,2
0.29,0.31,-0.31,-0.5,0.02,1.58,0.8,0.49,4.47,2.81,4.3,3.42,3.29,4.42,3.66,3.47,3.21,2.74,0.46,1.49,1.32,2
0.13,-0.65,0.43,-0.55,0.07,-0.29,1.58,2.11,3.08,3.9,3.87,5.56,5.02,5.97,2.79,4.51,3.22,0.57,1.44,0.02,-0.57,2
0.26,-0.74,1.38,1.58,1.94,-0.31,-1.08,-0.47,-0.13,0.86,2.09,3.04,2.71,4.34,2.86,4.18,1.56,2.41,1.42,1.66,0.3,2
-0.03,-0.11,1.5,0.9,-0.92,0.6,0.27,0.1,0.63,4.3,3.73,2.52,4.64,4.88,5.77,3.51,4.47,1.56,2.11,0.43,0.49,2
1.19,-0.64,1.03,-3.84,-0.32,0.55,0.75,3.76,3.23,3.72,4.78,6.18,2.06,3.16,3.66,2.71,1.02,1.26,0.36,0.49,-1.27,2
1.31,-0.28,2.08,1.26,1.77,-1,1.42,1.74,3.88,2.3,2.79,3.86,4.18,3.58,1.49,0.92,1.97,1.26,0.59,-0.22,-0.05,2
1.29,0.16,0.7,-0.02,0.51,0.91,0.84,0.42,0.43,2.82,2.77,2.88,2.77,5.82,6.27,4.33,2.29,2.11,1.44,-1.08,0.22,2
0.51,-0.13,-0.71,-0.39,0.17,1.27,0.02,2.83,3.39,3.13,3.72,3.61,4.63,2.79,4.46,1.44,1.78,1.98,2.02,-1.42,-0.57,2
0.25,0.92,0.18,-0.54,-0.12,0.32,1.79,-0.03,0.95,1.72,2.88,2.38,3.72,4.58,5.94,6.31,3.49,2.1,2.61,2.66,0.72,2
1.23,-0.23,0.71,-1.41,1.34,-0.02,1.68,1.49,2.62,5.03,3.14,2.73,4.7,2.31,2.4,2.57,2.48,1.79,0.58,0,-0.13,2
1.78,0.25,0.68,0.91,-0.53,-0.38,1.52,1.57,4.59,5.14,5.21,4.9,3.03,3.37,1.22,3.46,1.22,2.42,-1.31,1.48,-0.52,2
-1.48,-1.06,-0.61,-0.77,-0.23,1.95,0.54,4.53,2.88,7.17,4.07,4.49,4.33,3.02,1.01,1.77,-2.6,-1.14,-0.54,0.31,-1.11,2
1.43,0.51,-0.53,-1.46,-0.34,0.9,1.03,2.83,4,4.07,3.99,3.74,2.48,2.94,3.12,0.99,0.24,1.82,-0.31,0.18,-0.6,2
0.68,-0.93,-0.1,-0.83,-1.5,2.06,0.09,1.42,1.76,3.38,4.6,3.59,4.36,5.56,3.23,4.42,3,1.39,-0.05,0.58,0.78,2
0.38,0.75,-0.37,-0.1,0.57,0.5,2.44,2.22,4.63,2.26,4.33,3.98,6,6.41,4.06,2.31,1.9,0.3,0.96,0.38,-0.53,2
0.47,-1.57,-0.5,0.41,0.87,-0.35,1.9,1.89,-0.63,2.54,2.74,3.2,4.73,5.7,3.74,4.14,3.43,3.73,3.39,0.44,-0.57,2
-1.21,1.26,0.99,0.61,1.16,-0.08,-0.27,1,1.67,2.13,3.5,3.52,2.93,3.52,5.34,3.54,1.62,1.42,2.62,1.39,-1.9,2
-1.63,1.82,1.04,-0.94,-2.14,-2.06,0.63,0.93,0.94,-0.32,1.96,2.6,4.01,1.94,4.91,4.71,2.88,2.73,1.49,1.58,-1.26,2
0.02,2.42,0.54,-1,-0.7,-0.14,2.18,0.72,3.22,2.06,4.99,2.21,2.94,4.55,3.36,3.13,0.56,1.67,0.43,-0.92,-1.56,2
-1.02,-0.36,0.15,1.34,0.05,0.58,1.68,3.63,2.71,3.67,7.17,4.16,4.05,3.2,1.81,2.14,0.02,-0.54,-0.22,-0.02,-3.46,2
-0.34,0.49,-2.24,-0.12,-1.11,0.26,0.63,0.3,-0.56,1.63,2.66,5.39,3.09,4.36,5.77,2.26,3.56,1.09,0.19,-0.01,0.31,2
1.43,0.41,0.83,0.08,1.22,-0.12,1.31,0.91,1.57,1.55,3.45,4.79,5.73,5.03,5.47,3.38,3.34,1.77,2.12,-0.3,0.2,2
-1.18,1.4,0.27,-0.1,1.35,0.94,1.23,1.04,1.56,1.41,2,3.89,4.27,5.04,6.17,3.41,4.11,2.22,2.23,2.04,2.33,2
